,Transported,Age,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,CryoSleep_True,VIP_True,Expense
73,0,38.0,1,0,0,1,0,0,1.0
74,0,13.0,0,0,0,1,1,0,0.0
75,0,42.0,0,1,0,1,0,0,1.0
76,1,2.0,0,1,0,1,1,0,0.0
77,1,8.0,0,1,0,1,0,0,0.0
78,1,24.0,0,0,0,1,0,0,1.0
79,1,40.0,1,0,0,1,1,0,0.0
80,0,43.0,0,0,0,1,0,0,1.0
81,1,45.0,0,1,1,0,1,0,0.0
82,1,35.0,0,0,0,1,1,0,0.0
83,1,26.0,0,0,0,1,1,0,1.0
84,0,27.0,0,0,0,1,0,0,1.0
85,0,19.0,0,0,0,1,0,0,1.0
86,1,0.0,0,0,0,1,1,0,1.0
87,1,3.0,0,0,0,1,1,0,0.0
88,0,54.0,1,0,0,1,0,0,1.0
89,0,26.0,0,0,0,1,0,0,1.0
90,1,26.0,0,0,0,1,0,0,1.0
91,0,23.0,0,0,1,0,0,0,1.0
92,1,2.0,0,0,0,1,1,0,0.0
93,1,31.0,0,1,0,1,1,0,0.0
94,0,18.0,0,0,0,1,0,0,1.0
95,1,24.0,0,0,0,1,0,0,1.0
96,1,9.0,0,0,0,0,1,0,0.0
97,0,6.0,0,0,0,1,1,0,0.0
98,0,27.0,0,0,0,1,1,0,1.0
99,0,21.0,0,1,0,1,0,0,1.0
100,0,23.0,0,0,0,1,1,0,0.0
101,0,31.0,0,0,0,1,0,0,1.0
102,1,0.0,0,0,0,1,0,1,0.0
103,0,32.0,1,0,0,1,0,0,1.0
104,0,40.0,1,0,0,1,1,0,1.0
105,1,42.0,1,0,0,1,0,0,1.0
106,1,28.0,1,0,0,1,1,0,0.0
107,1,29.0,1,0,0,1,1,0,0.0
108,1,48.0,1,0,0,0,0,1,1.0
109,1,64.0,0,0,0,1,0,0,1.0
110,0,27.0,0,0,0,1,0,0,1.0
111,1,26.0,0,1,0,1,1,0,1.0
112,1,33.0,1,0,0,1,0,0,1.0
113,0,39.0,0,1,0,1,0,0,1.0
114,1,13.0,1,0,0,1,1,0,0.0
115,1,24.0,0,1,0,1,1,0,1.0
116,0,29.0,0,0,0,1,0,0,1.0
117,0,18.0,0,0,0,1,0,0,1.0
118,1,67.0,0,1,0,1,1,0,0.0
119,0,35.0,0,1,0,1,0,0,1.0
120,0,61.0,0,1,0,1,0,1,1.0
121,0,45.0,0,1,0,1,0,0,1.0
122,1,22.0,0,0,1,0,1,0,1.0
123,1,19.0,0,1,0,1,1,0,0.0
124,0,36.0,0,1,0,1,0,0,1.0
125,1,19.0,0,0,0,1,0,0,1.0
126,0,47.0,0,0,1,0,0,0,1.0
127,1,13.0,0,0,0,1,1,0,0.0
128,0,34.0,0,0,0,0,0,0,1.0
129,1,35.0,1,0,0,0,1,0,0.0
130,1,24.0,0,0,0,1,1,0,0.0
131,0,26.0,0,0,0,1,0,0,1.0
132,0,31.0,0,1,0,1,0,0,1.0
133,1,20.0,0,0,0,1,0,0,1.0
134,0,56.0,0,0,0,1,0,0,0.0
135,1,50.0,0,0,0,1,1,0,0.0
136,0,42.0,0,1,0,1,0,0,1.0
137,1,28.82793046746535,0,0,0,0,1,0,0.0
138,0,38.0,0,0,0,0,1,0,0.0
139,0,41.0,0,0,0,0,0,0,1.0
140,0,22.0,0,0,0,1,0,0,1.0
141,1,26.0,1,0,0,1,1,0,0.0
142,1,17.0,1,0,0,1,1,0,0.0
143,1,57.0,0,0,0,1,0,0,1.0
144,0,17.0,0,0,1,0,1,0,0.0
145,1,35.0,0,1,0,1,1,1,0.0
146,1,13.0,0,1,0,1,1,0,0.0
147,0,27.0,0,1,0,1,0,0,1.0
148,0,31.0,0,0,0,1,1,0,0.0
149,0,24.0,0,0,0,1,0,0,1.0
150,1,19.0,0,0,1,0,1,0,0.0
151,1,32.0,0,0,0,1,1,0,0.0
152,1,58.0,0,0,0,1,1,0,1.0
153,0,21.0,0,0,0,0,0,0,1.0
154,0,38.0,1,0,0,1,0,0,1.0
155,0,38.0,0,1,0,1,0,0,1.0
156,1,19.0,0,0,0,1,0,0,1.0
157,0,0.0,0,0,0,1,0,0,0.0
158,1,3.0,0,0,0,1,0,0,0.0
159,0,20.0,0,0,0,1,0,0,1.0
160,1,24.0,1,0,0,1,1,0,0.0
161,1,37.0,0,0,0,1,0,0,1.0
162,0,25.0,0,0,0,1,0,0,1.0
163,1,56.0,0,0,0,1,1,0,0.0
164,0,49.0,0,0,0,0,0,0,1.0
165,0,11.0,0,0,0,0,1,0,0.0
166,1,1.0,0,0,0,1,1,0,0.0
167,0,8.0,0,0,0,1,0,0,0.0
168,0,39.0,0,0,0,1,0,0,1.0
169,1,2.0,0,1,0,1,1,0,0.0
170,0,23.0,0,1,0,1,0,0,1.0
171,1,0.0,0,1,0,1,0,0,0.0
172,1,39.0,0,1,0,1,0,0,1.0
173,0,25.0,0,1,1,0,0,0,1.0
174,0,36.0,1,0,0,1,0,0,1.0
175,1,52.0,0,0,1,0,1,0,0.0
176,0,18.0,0,0,0,1,1,0,0.0
177,1,15.0,0,0,0,1,1,0,0.0
178,1,35.0,1,0,0,1,1,0,0.0
179,1,47.0,1,0,0,1,1,0,0.0
180,1,45.0,1,0,0,0,1,0,0.0
181,1,28.82793046746535,1,0,0,0,0,0,1.0
182,1,51.0,1,0,0,1,1,0,0.0
183,0,29.0,0,0,0,1,0,0,1.0
184,1,28.82793046746535,1,0,0,0,0,0,1.0
185,0,19.0,0,0,1,0,1,0,0.0
186,1,24.0,0,1,0,0,1,0,1.0
187,1,29.0,0,1,0,1,0,0,1.0
188,1,11.0,0,1,0,1,1,0,0.0
189,0,17.0,0,1,0,1,0,0,1.0
190,0,13.0,0,0,0,1,0,0,1.0
191,0,35.0,0,0,0,1,0,0,1.0
192,0,21.0,0,0,0,1,0,0,1.0
193,0,21.0,0,0,0,0,0,0,1.0
194,0,38.0,0,0,0,1,0,0,1.0
195,1,19.0,0,0,0,1,1,0,0.0
196,1,2.0,0,0,0,1,1,0,0.0
197,1,0.0,0,0,0,1,0,0,0.0
198,0,13.0,0,0,0,1,1,0,0.0
199,0,25.0,0,0,0,1,0,0,1.0
200,0,16.0,0,0,0,1,0,0,1.0
201,0,1.0,0,0,0,0,0,0,0.0
202,1,15.0,0,0,0,1,1,0,0.0
203,0,21.0,0,1,0,0,0,0,1.0
204,0,23.0,0,1,0,1,0,0,1.0
205,0,33.0,0,1,0,1,0,0,1.0
206,1,21.0,0,1,0,1,1,0,0.0
207,0,41.0,0,1,0,1,0,0,1.0
208,0,16.0,0,1,0,1,0,0,1.0
209,0,42.0,0,1,0,1,1,0,0.0
210,0,20.0,0,1,0,1,0,0,1.0
211,1,24.0,0,1,0,1,1,0,0.0
212,1,16.0,0,1,0,1,1,0,0.0
213,0,21.0,0,0,0,1,0,0,1.0
214,0,32.0,0,1,0,1,0,1,1.0
215,1,58.0,0,0,1,0,1,0,0.0
216,0,24.0,0,0,0,1,0,0,1.0
217,0,30.0,0,1,0,1,0,0,1.0
218,0,27.0,0,0,1,0,1,0,1.0
219,0,32.0,0,1,0,1,0,0,1.0
220,0,43.0,0,0,0,1,0,0,1.0
221,1,42.0,1,0,0,1,1,0,0.0
222,0,37.0,0,1,0,1,0,0,1.0
223,1,35.0,0,1,0,1,1,0,0.0
224,0,33.0,1,0,0,0,1,0,1.0
225,0,18.0,0,1,0,1,0,0,1.0
226,0,21.0,0,0,0,1,1,0,0.0
227,1,43.0,0,1,0,1,1,0,0.0
228,1,14.0,0,1,0,0,1,1,0.0
229,1,46.0,1,0,0,0,0,0,1.0
230,0,33.0,1,0,0,1,0,0,1.0
231,0,21.0,0,1,0,1,0,0,1.0
232,0,33.0,1,0,0,1,0,0,1.0
233,0,47.0,0,0,1,0,1,0,1.0
234,1,54.0,0,1,0,0,1,0,0.0
235,0,30.0,0,0,0,1,0,0,1.0
236,0,29.0,0,0,0,1,0,0,1.0
237,1,21.0,0,0,0,1,0,0,1.0
238,1,24.0,1,0,0,1,1,0,0.0
239,0,21.0,0,1,0,0,0,0,1.0
240,1,60.0,0,1,0,1,1,0,0.0
241,0,22.0,0,0,0,1,0,0,1.0
242,0,26.0,1,0,0,1,0,0,1.0
243,0,26.0,0,0,0,1,0,0,1.0
244,1,28.0,0,0,0,1,1,0,0.0
245,1,39.0,1,0,0,1,1,0,1.0
246,0,13.0,0,0,0,1,0,0,1.0
247,1,47.0,0,0,0,0,0,0,1.0
248,0,63.0,0,0,0,1,0,0,1.0
249,1,28.82793046746535,1,0,0,0,1,0,0.0
250,1,50.0,0,0,0,0,0,0,1.0
251,0,35.0,0,0,0,1,0,0,1.0
252,0,45.0,0,0,0,1,0,0,1.0
253,1,19.0,0,0,0,1,0,0,1.0
254,1,21.0,0,0,0,1,0,0,1.0
255,1,29.0,0,0,1,0,1,0,0.0
256,1,22.0,0,0,0,1,0,0,1.0
257,1,14.0,1,0,0,1,1,0,0.0
258,1,42.0,1,0,0,0,1,0,0.0
259,0,57.0,0,0,0,0,0,0,1.0
260,1,39.0,1,0,0,0,1,0,0.0
261,0,28.0,1,0,0,1,0,0,1.0
262,0,19.0,0,0,0,0,0,0,1.0
263,1,19.0,1,0,0,0,1,0,0.0
264,1,26.0,1,0,0,0,0,0,1.0
265,1,17.0,1,0,0,1,1,0,0.0
266,1,43.0,1,0,0,1,1,0,0.0
267,1,9.0,1,0,0,0,0,0,0.0
268,1,40.0,1,0,0,1,0,0,1.0
269,1,50.0,1,0,0,1,1,0,1.0
270,1,24.0,0,0,0,1,0,0,1.0
271,1,57.0,1,0,0,0,1,0,0.0
272,0,16.0,0,0,0,1,1,0,0.0
273,0,23.0,0,0,0,1,0,0,1.0
274,1,23.0,0,1,0,1,1,0,0.0
275,0,28.0,1,0,0,1,0,0,1.0
276,0,23.0,1,0,0,0,0,0,1.0
277,0,23.0,0,0,0,1,0,0,1.0
278,1,18.0,0,0,0,1,0,0,1.0
279,0,18.0,0,0,0,1,0,0,1.0
280,0,67.0,1,0,0,1,0,0,1.0
281,1,60.0,0,0,1,0,0,0,1.0
282,1,28.82793046746535,0,0,0,0,1,0,1.0
283,1,49.0,0,0,0,0,0,0,1.0
284,1,0.0,0,0,0,0,0,0,0.0
285,0,26.0,0,0,0,0,0,0,1.0
286,1,35.0,0,1,1,0,1,0,0.0
287,1,24.0,1,0,0,1,0,0,1.0
288,1,20.0,1,0,0,1,1,0,1.0
289,0,18.0,0,0,0,1,0,0,1.0
290,0,21.0,0,0,0,1,0,0,1.0
291,0,59.0,0,1,0,1,0,1,1.0
292,0,13.0,0,0,1,0,1,0,0.0
293,0,43.0,0,0,0,0,1,0,0.0
294,0,29.0,0,0,0,1,1,0,0.0
295,1,19.0,0,0,0,1,0,0,1.0
296,1,2.0,1,0,0,1,0,0,0.0
297,1,32.0,1,0,0,1,0,0,1.0
298,0,33.0,1,0,0,1,0,0,1.0
299,0,25.0,0,0,0,1,0,0,1.0
300,1,29.0,0,1,0,0,1,0,0.0
301,0,29.0,0,1,0,1,0,0,1.0
302,0,44.0,0,0,0,1,0,0,1.0
303,1,2.0,0,1,0,0,1,0,0.0
304,1,19.0,0,1,0,1,0,0,1.0
305,1,0.0,0,1,0,0,0,0,0.0
306,1,18.0,0,0,0,1,1,0,1.0
307,1,38.0,1,0,0,0,1,0,0.0
308,0,5.0,0,0,1,0,1,0,0.0
309,0,31.0,0,0,1,0,0,0,1.0
310,0,30.0,0,1,0,1,1,0,0.0
311,1,15.0,0,0,0,0,1,0,0.0
312,0,27.0,0,1,0,1,0,0,1.0
313,1,22.0,0,1,0,1,0,0,1.0
314,1,36.0,0,1,0,1,1,0,1.0
315,1,14.0,0,0,1,0,1,0,0.0
316,0,23.0,0,1,0,1,0,0,1.0
317,1,18.0,0,0,0,1,1,0,0.0
318,1,36.0,1,0,0,0,1,0,0.0
319,0,41.0,0,0,0,1,0,0,1.0
320,1,50.0,0,0,0,1,1,0,0.0
321,1,32.0,0,0,1,0,1,0,0.0
322,0,26.0,0,0,1,0,0,0,1.0
323,0,15.0,0,0,0,1,0,0,1.0
324,1,33.0,0,0,0,0,0,0,1.0
325,0,28.82793046746535,0,0,0,0,0,0,1.0
326,0,26.0,0,1,0,1,0,0,1.0
327,1,61.0,0,1,0,1,1,0,0.0
328,1,24.0,0,0,0,1,0,0,1.0
329,0,30.0,0,0,0,1,0,0,1.0
330,1,24.0,0,1,0,1,1,0,0.0
331,0,24.0,0,0,0,1,0,0,1.0
332,0,41.0,0,0,0,1,1,0,0.0
333,0,20.0,0,0,0,1,0,0,1.0
334,1,22.0,0,0,0,1,0,0,1.0
335,0,63.0,1,0,0,0,0,0,1.0
336,0,18.0,1,0,0,0,0,0,1.0
337,1,21.0,1,0,0,0,1,0,0.0
338,0,72.0,1,0,0,1,0,0,1.0
339,1,56.0,1,0,0,1,1,0,0.0
340,1,13.0,1,0,0,1,1,0,0.0
341,0,33.0,1,0,0,1,0,0,1.0
342,1,32.0,1,0,0,1,1,0,0.0
343,1,31.0,0,0,0,1,0,0,1.0
344,1,26.0,1,0,0,0,1,0,0.0
345,1,18.0,1,0,0,0,1,0,0.0
346,1,38.0,1,0,0,0,1,0,1.0
347,0,23.0,0,1,0,0,0,0,1.0
348,0,28.0,0,0,0,1,0,0,1.0
349,0,34.0,0,0,1,0,1,0,0.0
350,1,0.0,0,0,0,0,0,0,0.0
351,1,14.0,0,0,0,1,0,0,1.0
352,0,23.0,0,0,0,1,0,0,1.0
353,0,49.0,0,0,0,1,1,0,0.0
354,0,14.0,0,0,0,1,1,0,0.0
355,0,18.0,0,0,0,1,0,0,1.0
356,1,27.0,1,0,1,0,0,1,1.0
357,0,48.0,0,0,0,1,0,0,1.0
358,0,31.0,1,0,0,0,0,1,1.0
359,0,61.0,1,0,0,0,0,0,1.0
360,1,18.0,0,0,0,1,1,0,0.0
361,1,45.0,0,1,0,1,1,0,0.0
362,0,22.0,0,1,0,1,0,0,1.0
363,0,30.0,0,1,0,1,0,1,1.0
364,0,30.0,0,1,0,1,0,0,1.0
365,1,32.0,0,1,0,0,1,1,0.0
366,1,43.0,0,1,0,1,0,1,1.0
367,0,17.0,0,0,0,0,0,0,1.0
368,0,23.0,0,0,0,1,0,0,1.0
369,0,20.0,0,0,0,1,0,0,1.0
370,0,39.0,0,0,0,1,1,0,0.0
371,0,35.0,0,1,0,1,0,0,1.0
372,0,31.0,0,1,0,1,0,0,1.0
373,0,21.0,0,0,0,0,0,0,1.0
374,0,16.0,0,0,0,1,0,0,1.0
375,1,60.0,1,0,0,1,0,0,1.0
376,0,18.0,0,0,0,1,0,0,1.0
377,0,42.0,0,0,0,1,1,0,0.0
378,1,68.0,1,0,0,0,1,0,0.0
379,0,22.0,1,0,0,0,0,0,1.0
380,1,59.0,1,0,0,1,1,0,0.0
381,1,28.82793046746535,1,0,0,1,0,0,1.0
382,0,37.0,0,1,0,1,0,0,1.0
383,1,3.0,0,1,0,1,1,0,0.0
384,1,31.0,0,1,0,1,1,0,0.0
385,1,31.0,1,0,0,1,0,0,1.0
386,1,29.0,1,0,0,1,0,0,1.0
387,1,20.0,1,0,0,0,0,0,1.0
388,1,46.0,1,0,0,0,1,0,0.0
389,1,29.0,0,0,0,1,0,0,1.0
390,1,43.0,0,1,0,1,1,0,0.0
391,0,17.0,0,1,0,1,0,0,1.0
392,1,27.0,1,0,0,0,1,0,0.0
393,0,47.0,1,0,0,1,0,0,1.0
394,1,45.0,0,1,0,1,1,0,0.0
395,1,17.0,0,0,0,1,1,0,0.0
396,1,10.0,0,0,0,0,0,0,0.0
397,0,56.0,0,0,1,0,0,0,1.0
398,0,39.0,0,0,0,1,0,0,1.0
399,0,40.0,0,0,1,0,0,0,1.0
400,1,40.0,1,0,0,1,1,0,1.0
401,0,34.0,1,0,0,0,0,0,1.0
402,0,32.0,0,0,0,0,0,0,1.0
403,0,35.0,0,0,0,1,0,0,1.0
404,0,32.0,0,1,0,1,0,1,1.0
405,0,26.0,0,1,0,1,0,1,1.0
406,0,25.0,0,0,0,1,0,0,1.0
407,0,26.0,0,1,0,1,0,0,1.0
408,1,22.0,1,0,0,0,1,0,0.0
409,1,22.0,0,0,0,1,0,0,1.0
410,0,24.0,0,0,0,1,0,0,1.0
411,1,32.0,0,0,1,0,1,0,0.0
412,1,11.0,0,0,0,1,1,0,0.0
413,1,22.0,0,1,0,1,1,0,0.0
414,1,19.0,1,0,0,1,1,0,0.0
415,1,34.0,1,0,0,0,1,0,0.0
416,1,72.0,1,0,0,1,1,0,0.0
417,1,28.0,1,0,0,0,1,1,1.0
418,1,42.0,1,0,0,1,1,0,0.0
419,1,43.0,1,0,0,1,1,0,0.0
420,0,55.0,0,0,0,1,0,0,1.0
421,1,19.0,0,0,1,0,0,0,1.0
422,0,6.0,0,0,0,1,1,0,0.0
423,0,7.0,0,0,0,1,0,0,0.0
424,1,28.0,1,0,0,0,1,0,0.0
425,0,15.0,0,0,0,1,0,0,1.0
426,1,24.0,0,0,1,0,1,0,0.0
427,1,31.0,0,0,1,0,0,0,1.0
428,1,22.0,0,0,0,1,0,0,1.0
429,1,1.0,0,0,0,0,0,0,0.0
430,0,50.0,0,0,0,0,1,0,0.0
431,0,34.0,0,1,0,1,0,0,1.0
432,0,14.0,0,1,0,1,0,0,1.0
433,0,19.0,0,0,0,1,0,0,1.0
434,1,28.82793046746535,0,0,0,1,0,0,1.0
435,0,36.0,0,0,0,1,0,0,1.0
436,0,34.0,0,0,0,1,1,0,0.0
437,1,25.0,0,1,0,0,1,0,1.0
438,1,36.0,0,1,0,1,1,0,0.0
439,0,16.0,1,0,0,1,0,0,1.0
440,1,30.0,1,0,0,0,0,0,1.0
441,0,37.0,0,0,1,0,0,0,1.0
442,1,15.0,0,0,0,0,1,0,0.0
443,0,36.0,0,0,0,1,0,0,1.0
444,0,27.0,0,1,1,0,0,0,1.0
445,1,27.0,0,1,0,1,1,0,0.0
446,1,12.0,0,1,0,1,1,0,0.0
447,0,22.0,0,0,0,1,0,0,1.0
448,0,27.0,0,0,0,1,0,0,1.0
449,1,13.0,0,0,0,1,1,0,0.0
450,0,27.0,0,0,0,1,0,0,1.0
451,0,28.0,0,0,0,1,0,0,1.0
452,0,21.0,1,0,0,0,0,0,1.0
453,0,39.0,1,0,0,1,1,0,1.0
454,0,28.0,0,0,1,0,1,0,1.0
455,1,14.0,0,0,0,1,1,0,0.0
456,1,27.0,1,0,0,0,1,0,1.0
457,1,46.0,1,0,0,0,1,0,1.0
458,1,27.0,0,1,0,0,1,0,0.0
459,0,21.0,0,1,0,1,0,0,0.0
460,1,21.0,0,1,0,0,0,0,1.0
461,0,42.0,1,0,0,1,0,0,1.0
462,0,22.0,0,1,0,1,0,0,1.0
463,1,10.0,0,1,0,1,0,0,0.0
464,0,43.0,0,1,0,1,0,0,1.0
465,0,42.0,0,1,0,1,0,0,1.0
466,1,18.0,1,0,0,0,1,0,0.0
467,1,54.0,1,0,0,0,1,0,0.0
468,1,24.0,1,0,0,0,1,0,0.0
469,0,64.0,1,0,0,1,0,0,1.0
470,1,18.0,1,0,0,0,1,0,0.0
471,1,53.0,0,1,0,0,1,0,0.0
472,1,23.0,0,1,0,1,1,0,0.0
473,1,39.0,0,0,0,1,0,0,0.0
474,1,59.0,1,0,0,1,0,0,1.0
475,1,32.0,1,0,0,0,0,0,1.0
476,1,55.0,1,0,0,1,1,0,0.0
477,1,21.0,0,0,1,0,1,0,0.0
478,1,50.0,1,0,0,1,1,0,0.0
479,0,55.0,1,0,0,0,0,0,1.0
480,0,28.82793046746535,0,0,0,1,0,0,1.0
481,1,35.0,0,1,0,1,1,0,0.0
482,1,28.82793046746535,0,0,0,1,1,0,0.0
483,0,55.0,0,0,0,1,0,0,1.0
484,1,23.0,0,0,0,1,0,0,1.0
485,0,42.0,0,0,0,1,0,0,1.0
486,1,35.0,0,0,0,1,0,0,1.0
487,1,47.0,0,0,0,1,1,0,0.0
488,0,28.82793046746535,0,1,0,0,0,0,1.0
489,1,34.0,0,1,0,1,1,0,0.0
490,0,46.0,1,0,0,1,0,0,1.0
491,0,26.0,0,0,1,0,1,0,0.0
492,0,1.0,0,0,0,0,1,0,0.0
493,1,28.82793046746535,0,0,0,0,1,0,0.0
494,0,33.0,0,1,0,1,0,0,1.0
495,0,34.0,1,0,0,1,0,0,1.0
496,0,49.0,1,0,0,1,0,0,1.0
497,0,22.0,0,0,0,1,0,0,1.0
498,1,28.0,0,0,0,1,0,0,1.0
499,1,28.82793046746535,1,0,0,1,1,0,1.0
500,1,36.0,1,0,0,0,1,0,0.0
501,1,30.0,0,1,0,0,1,0,0.0
502,1,49.0,1,0,0,1,1,0,0.0
503,0,38.0,1,0,0,1,0,0,1.0
504,1,31.0,0,1,0,1,1,0,0.0
505,0,17.0,0,1,0,1,0,0,1.0
506,0,26.0,0,0,0,1,0,0,1.0
507,0,23.0,0,0,0,1,0,0,1.0
508,0,24.0,0,0,0,0,0,0,1.0
509,0,23.0,0,0,0,1,0,0,1.0
510,1,24.0,0,0,0,1,0,0,1.0
511,1,32.0,0,1,1,0,0,0,1.0
512,1,43.0,0,1,0,1,1,0,0.0
513,1,23.0,0,0,0,1,0,0,1.0
514,0,42.0,0,0,0,1,0,0,1.0
515,1,29.0,1,0,0,0,1,0,0.0
516,1,40.0,1,0,0,1,1,0,0.0
517,1,37.0,1,0,0,1,0,0,1.0
518,1,61.0,1,0,0,0,1,0,0.0
519,0,33.0,1,0,0,1,0,0,1.0
520,1,19.0,0,0,0,1,0,0,1.0
521,0,21.0,0,0,1,0,0,0,1.0
522,0,4.0,0,0,0,1,0,0,0.0
523,1,12.0,0,0,1,0,0,0,0.0
524,1,44.0,0,1,0,1,0,0,1.0
525,0,22.0,0,0,0,1,0,0,1.0
526,0,33.0,0,1,0,0,0,0,1.0
527,1,32.0,1,0,0,0,1,0,0.0
528,1,28.0,1,0,0,1,1,0,0.0
529,0,28.0,1,0,0,0,0,0,1.0
530,0,31.0,0,1,0,1,0,0,1.0
531,1,13.0,0,1,0,1,1,0,0.0
532,1,14.0,0,0,0,1,1,0,0.0
533,0,33.0,1,0,0,1,1,0,1.0
534,1,28.82793046746535,1,0,0,0,1,0,1.0
535,1,23.0,0,0,0,1,0,0,1.0
536,1,36.0,1,0,0,1,0,1,1.0
537,1,22.0,1,0,0,0,1,0,0.0
538,0,19.0,1,0,0,1,1,0,0.0
539,1,42.0,1,0,0,1,1,0,0.0
540,1,30.0,1,0,0,0,1,0,1.0
541,1,16.0,1,0,0,0,1,0,0.0
542,0,55.0,1,0,0,1,0,0,1.0
543,1,55.0,1,0,0,1,1,0,0.0
544,0,19.0,0,0,0,1,0,0,1.0
545,0,28.82793046746535,0,0,0,1,0,0,1.0
546,1,18.0,1,0,0,1,1,0,0.0
547,0,21.0,0,0,0,0,0,0,1.0
548,0,65.0,0,0,0,1,0,0,1.0
549,1,55.0,0,0,0,1,0,0,1.0
550,0,50.0,0,0,0,1,0,0,1.0
551,1,49.0,0,0,0,1,1,0,0.0
552,0,22.0,0,0,0,1,0,0,1.0
553,1,33.0,0,1,0,1,1,0,0.0
554,1,3.0,0,1,0,1,1,0,0.0
555,1,0.0,0,1,0,1,1,0,0.0
556,1,33.0,0,1,0,1,1,0,0.0
557,1,48.0,0,1,0,1,1,0,0.0
558,1,5.0,0,1,0,1,1,0,0.0
559,0,23.0,0,1,0,1,0,0,1.0
560,1,53.0,1,0,0,1,1,0,0.0
561,0,18.0,0,1,0,1,0,0,1.0
562,0,20.0,0,0,1,0,1,0,0.0
563,0,23.0,0,0,0,1,0,0,1.0
564,0,48.0,0,0,0,1,0,0,1.0
565,0,19.0,0,0,1,0,1,0,0.0
566,0,28.82793046746535,0,1,0,1,0,1,1.0
567,0,9.0,0,0,0,0,0,0,0.0
568,0,24.0,0,1,0,1,0,0,1.0
569,1,46.0,0,1,0,1,0,0,1.0
570,1,23.0,0,0,0,0,1,0,0.0
571,0,21.0,0,0,0,1,1,0,0.0
572,0,19.0,0,0,0,1,1,0,1.0
