,Transported,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet,Destination,CryoSleep,VIP
34,True,2.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
35,True,20.0,224.687617481203,0.0,1750.0,990.0,0.0,Mars,TRAPPIST-1e,False,False
36,True,28.0,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,True,False
37,False,23.0,784.0,964.0,0.0,951.0,0.0,Mars,55 Cancri e,False,False
38,False,15.0,0.0,492.0,48.0,20.0,401.0,Earth,55 Cancri e,False,True
39,False,20.0,554.0,195.0,0.0,2606.0,0.0,Earth,55 Cancri e,False,False
40,False,30.0,0.0,0.0,173.72916912197996,0.0,0.0,Earth,55 Cancri e,True,False
41,True,17.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
42,False,45.0,0.0,164.0,45.0,2511.0,855.0,Europa,TRAPPIST-1e,False,False
43,False,55.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
44,True,4.0,0.0,0.0,0.0,0.0,0.0,Earth,55 Cancri e,True,False
45,True,21.0,0.0,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
46,False,21.0,970.0,0.0,180.0,0.0,64.0,Mars,TRAPPIST-1e,False,False
47,True,19.0,0.0,0.0,0.0,0.0,0.0,Mars,55 Cancri e,True,False
48,False,35.0,790.0,0.0,0.0,311.1387779083431,0.0,Earth,55 Cancri e,False,False
49,False,56.0,0.0,112.0,0.0,1379.0,127.0,Earth,TRAPPIST-1e,False,False
50,False,28.82793046746535,4.0,0.0,2.0,4683.0,0.0,Earth,TRAPPIST-1e,False,False
51,True,25.0,0.0,0.0,1938.0,0.0,1.0,Earth,TRAPPIST-1e,False,False
52,True,2.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,False,False
53,True,38.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
54,True,27.0,279.0,605.0,3374.0,286.0,3.0,Europa,TRAPPIST-1e,False,False
55,False,36.0,0.0,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
56,False,22.0,45.0,1096.0,148.0,1377.0,1.0,Earth,TRAPPIST-1e,False,False
57,False,62.0,0.0,592.0,0.0,17.0,25.0,Earth,TRAPPIST-1e,False,False
58,True,15.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
59,True,33.0,0.0,0.0,173.72916912197996,0.0,0.0,Mars,TRAPPIST-1e,True,False
60,False,62.0,1.0,153.0,197.0,0.0,460.0,Earth,TRAPPIST-1e,False,False
61,True,0.0,0.0,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
62,True,18.0,1.0,258.0,446.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
63,False,21.0,1946.0,37.0,0.0,0.0,24.0,Earth,55 Cancri e,False,False
64,False,28.82793046746535,793.0,0.0,2.0,253.0,0.0,Mars,TRAPPIST-1e,False,False
65,True,42.0,887.0,0.0,9.0,6.0,0.0,Earth,TRAPPIST-1e,False,False
66,False,19.0,190.0,0.0,5.0,1.0,726.0,Earth,TRAPPIST-1e,False,False
67,False,17.0,16.0,2165.0,0.0,0.0,52.0,Earth,TRAPPIST-1e,False,False
68,False,14.0,0.0,1.0,0.0,0.0,1063.0,Earth,TRAPPIST-1e,False,False
69,False,37.0,46.0,83.0,738.0,0.0,12.0,Mars,PSO J318.5-22,False,False
70,True,42.0,1.0,8397.0,0.0,0.0,506.0,Europa,TRAPPIST-1e,False,False
71,True,27.0,147.0,0.0,1018.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
72,True,28.0,14.0,0.0,1295.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
73,False,38.0,0.0,5840.0,0.0,321.0,9654.0,Europa,TRAPPIST-1e,False,False
74,False,13.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
75,False,42.0,7406.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
76,True,2.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
77,True,8.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
78,True,24.0,688.0,0.0,0.0,0.0,17.0,Earth,TRAPPIST-1e,False,False
79,True,40.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
80,False,43.0,211.0,0.0,0.0,638.0,513.0,Earth,TRAPPIST-1e,False,False
81,True,45.0,0.0,0.0,0.0,0.0,0.0,Mars,PSO J318.5-22,True,False
82,True,35.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
83,True,26.0,224.687617481203,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
84,False,27.0,1.0,697.0,31.0,188.0,0.0,Earth,TRAPPIST-1e,False,False
85,False,19.0,0.0,0.0,670.0,1.0,34.0,Earth,TRAPPIST-1e,False,False
86,True,0.0,0.0,0.0,173.72916912197996,0.0,0.0,Earth,TRAPPIST-1e,True,False
87,True,3.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
88,False,54.0,0.0,1208.0,0.0,3.0,637.0,Europa,TRAPPIST-1e,False,False
89,False,26.0,0.0,856.0,5.0,32.0,0.0,Earth,TRAPPIST-1e,False,False
90,True,26.0,0.0,2811.0,957.0,0.0,87.0,Earth,TRAPPIST-1e,False,False
91,False,23.0,311.0,427.0,526.0,37.0,0.0,Earth,PSO J318.5-22,False,False
92,True,2.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
93,True,31.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
94,False,18.0,0.0,0.0,0.0,830.0,91.0,Earth,TRAPPIST-1e,False,False
95,True,24.0,0.0,458.07720329024676,0.0,0.0,17.0,Earth,TRAPPIST-1e,False,False
96,True,9.0,0.0,0.0,0.0,0.0,0.0,Earth,55 Cancri e,True,False
97,False,6.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
98,False,27.0,0.0,0.0,570.0,2.0,131.0,Earth,TRAPPIST-1e,True,False
99,False,21.0,1743.0,5.0,17.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
100,False,23.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
101,False,31.0,562.0,0.0,326.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
102,True,0.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,True
103,False,32.0,0.0,410.0,6.0,3929.0,764.0,Europa,TRAPPIST-1e,False,False
104,False,40.0,0.0,331.0,0.0,0.0,1687.0,Europa,TRAPPIST-1e,True,False
105,True,42.0,2209.0,11418.0,0.0,1868.0,445.0,Europa,TRAPPIST-1e,False,False
106,True,28.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
107,True,29.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
108,True,48.0,0.0,2537.0,87.0,17.0,13.0,Europa,55 Cancri e,False,True
109,True,64.0,0.0,0.0,804.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
110,False,27.0,82.0,157.0,429.0,238.0,1.0,Earth,TRAPPIST-1e,False,False
111,True,26.0,0.0,0.0,0.0,0.0,304.8547912992357,Mars,TRAPPIST-1e,True,False
112,True,33.0,1.0,2223.0,0.0,12.0,404.0,Europa,TRAPPIST-1e,False,False
113,False,39.0,0.0,2344.0,0.0,65.0,6898.0,Mars,TRAPPIST-1e,False,False
114,True,13.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
115,True,24.0,0.0,0.0,0.0,0.0,304.8547912992357,Mars,TRAPPIST-1e,True,False
116,False,29.0,0.0,0.0,0.0,699.0,74.0,Earth,TRAPPIST-1e,False,False
117,False,18.0,55.0,597.0,49.0,0.0,1.0,Earth,TRAPPIST-1e,False,False
118,True,67.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
119,False,35.0,701.0,0.0,296.0,0.0,25.0,Mars,TRAPPIST-1e,False,False
120,False,61.0,2353.0,334.0,9.0,316.0,2.0,Mars,TRAPPIST-1e,False,True
121,False,45.0,2103.0,6.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
122,True,22.0,0.0,0.0,173.72916912197996,0.0,0.0,Earth,PSO J318.5-22,True,False
123,True,19.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
124,False,36.0,2738.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
125,True,19.0,0.0,14.0,730.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
126,False,47.0,97.0,418.0,126.0,25.0,55.0,Earth,PSO J318.5-22,False,False
127,True,13.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
128,False,34.0,0.0,22.0,0.0,564.0,207.0,Earth,55 Cancri e,False,False
129,True,35.0,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,True,False
130,True,24.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
131,False,26.0,440.0,0.0,0.0,0.0,462.0,Earth,TRAPPIST-1e,False,False
132,False,31.0,224.687617481203,0.0,97.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
133,True,20.0,0.0,420.0,210.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
134,False,56.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
135,True,50.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
136,False,42.0,1072.0,0.0,10.0,0.0,76.0,Mars,TRAPPIST-1e,False,False
137,True,28.82793046746535,0.0,0.0,0.0,0.0,0.0,Earth,55 Cancri e,True,False
138,False,38.0,0.0,0.0,0.0,0.0,0.0,Earth,55 Cancri e,True,False
139,False,41.0,0.0,0.0,0.0,0.0,607.0,Earth,55 Cancri e,False,False
140,False,22.0,4119.0,0.0,0.0,0.0,61.0,Earth,TRAPPIST-1e,False,False
141,True,26.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
142,True,17.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
143,True,57.0,50.0,1688.0,0.0,311.1387779083431,135.0,Earth,TRAPPIST-1e,False,False
144,False,17.0,0.0,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
145,True,35.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,True
146,True,13.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
147,False,27.0,1365.0,0.0,48.0,22.0,137.0,Mars,TRAPPIST-1e,False,False
148,False,31.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
149,False,24.0,0.0,0.0,0.0,221.0,567.0,Earth,TRAPPIST-1e,False,False
150,True,19.0,0.0,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
151,True,32.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
152,True,58.0,0.0,985.0,0.0,5.0,0.0,Earth,TRAPPIST-1e,True,False
153,False,21.0,287.0,0.0,16.0,115.0,175.0,Earth,55 Cancri e,False,False
154,False,38.0,0.0,10346.0,1.0,14970.0,2111.0,Europa,TRAPPIST-1e,False,False
155,False,38.0,3414.0,0.0,161.0,28.0,119.0,Mars,TRAPPIST-1e,False,False
156,True,19.0,1.0,219.0,673.0,2.0,11.0,Earth,TRAPPIST-1e,False,False
157,False,0.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
158,True,3.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
159,False,20.0,0.0,0.0,3.0,299.0,92.0,Earth,TRAPPIST-1e,False,False
160,True,24.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
161,True,37.0,17.0,146.0,426.0,0.0,232.0,Earth,TRAPPIST-1e,False,False
162,False,25.0,62.0,0.0,0.0,0.0,956.0,Earth,TRAPPIST-1e,False,False
163,True,56.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
164,False,49.0,84.0,3.0,401.0,202.0,98.0,Earth,55 Cancri e,False,False
165,False,11.0,0.0,0.0,0.0,0.0,0.0,Earth,55 Cancri e,True,False
166,True,1.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
167,False,8.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
168,False,39.0,0.0,0.0,10.0,898.0,0.0,Earth,TRAPPIST-1e,False,False
169,True,2.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
170,False,23.0,224.687617481203,0.0,8.0,1072.0,0.0,Mars,TRAPPIST-1e,False,False
171,True,0.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
172,True,39.0,406.0,0.0,867.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
173,False,25.0,1052.0,0.0,719.0,0.0,7.0,Mars,PSO J318.5-22,False,False
174,False,36.0,0.0,972.0,0.0,795.0,575.0,Europa,TRAPPIST-1e,False,False
175,True,52.0,0.0,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
176,False,18.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
177,True,15.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
178,True,35.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
179,True,47.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
180,True,45.0,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,True,False
181,True,28.82793046746535,0.0,2433.0,173.72916912197996,878.0,443.0,Europa,55 Cancri e,False,False
182,True,51.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
183,False,29.0,0.0,2.0,66.0,0.0,705.0,Earth,TRAPPIST-1e,False,False
184,True,28.82793046746535,2.0,1720.0,12.0,1125.0,122.0,Europa,55 Cancri e,False,False
185,False,19.0,0.0,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
186,True,24.0,0.0,0.0,173.72916912197996,0.0,0.0,Mars,55 Cancri e,True,False
187,True,29.0,902.0,1.0,137.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
188,True,11.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
189,False,17.0,848.0,0.0,307.0,182.0,0.0,Mars,TRAPPIST-1e,False,False
190,False,13.0,192.0,0.0,0.0,51.0,739.0,Earth,TRAPPIST-1e,False,False
191,False,35.0,147.0,188.0,0.0,10.0,387.0,Earth,TRAPPIST-1e,False,False
192,False,21.0,367.0,281.0,0.0,0.0,146.0,Earth,TRAPPIST-1e,False,False
193,False,21.0,0.0,56.0,0.0,0.0,1918.0,Earth,55 Cancri e,False,False
194,False,38.0,1517.0,0.0,0.0,27.0,0.0,Earth,TRAPPIST-1e,False,False
195,True,19.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
196,True,2.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
197,True,0.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
198,False,13.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
199,False,25.0,122.0,84.0,173.72916912197996,0.0,0.0,Earth,TRAPPIST-1e,False,False
200,False,16.0,0.0,3.0,0.0,0.0,1099.0,Earth,TRAPPIST-1e,False,False
201,False,1.0,0.0,0.0,0.0,0.0,0.0,Earth,55 Cancri e,False,False
202,True,15.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
203,False,21.0,2237.0,0.0,119.0,0.0,0.0,Mars,55 Cancri e,False,False
204,False,23.0,1215.0,80.0,1.0,2.0,0.0,Mars,TRAPPIST-1e,False,False
205,False,33.0,1933.0,12.0,188.0,1.0,0.0,Mars,TRAPPIST-1e,False,False
206,True,21.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
207,False,41.0,1230.0,0.0,301.0,43.0,1023.0,Mars,TRAPPIST-1e,False,False
208,False,16.0,915.0,0.0,221.0,234.0,0.0,Mars,TRAPPIST-1e,False,False
209,False,42.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
210,False,20.0,1406.0,0.0,0.0,11.0,0.0,Mars,TRAPPIST-1e,False,False
211,True,24.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
212,True,16.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
213,False,21.0,0.0,2.0,665.0,0.0,9.0,Earth,TRAPPIST-1e,False,False
214,False,32.0,181.0,0.0,5.0,1634.0,0.0,Mars,TRAPPIST-1e,False,True
215,True,58.0,0.0,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
216,False,24.0,4.0,7.0,0.0,713.0,79.0,Earth,TRAPPIST-1e,False,False
217,False,30.0,85.0,0.0,1.0,1720.0,0.0,Mars,TRAPPIST-1e,False,False
218,False,27.0,0.0,458.07720329024676,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
219,False,32.0,56.0,0.0,256.0,1438.0,0.0,Mars,TRAPPIST-1e,False,False
220,False,43.0,224.687617481203,888.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
221,True,42.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
222,False,37.0,637.0,0.0,0.0,92.0,319.0,Mars,TRAPPIST-1e,False,False
223,True,35.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
224,False,33.0,0.0,1249.0,0.0,4812.0,1116.0,Europa,55 Cancri e,True,False
225,False,18.0,313.0,1.0,691.0,283.0,0.0,Mars,TRAPPIST-1e,False,False
226,False,21.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
227,True,43.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
228,True,14.0,0.0,0.0,0.0,0.0,0.0,Mars,55 Cancri e,True,True
229,True,46.0,0.0,3571.0,0.0,0.0,7.0,Europa,55 Cancri e,False,False
230,False,33.0,0.0,86.0,796.0,584.0,10912.0,Europa,TRAPPIST-1e,False,False
231,False,21.0,2947.0,0.0,287.0,27.0,0.0,Mars,TRAPPIST-1e,False,False
232,False,33.0,0.0,1.0,0.0,8620.0,1063.0,Europa,TRAPPIST-1e,False,False
233,False,47.0,224.687617481203,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
234,True,54.0,0.0,0.0,0.0,0.0,0.0,Mars,55 Cancri e,True,False
235,False,30.0,335.0,695.0,541.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
236,False,29.0,272.0,615.0,0.0,0.0,1.0,Earth,TRAPPIST-1e,False,False
237,True,21.0,702.0,172.0,408.0,2.0,6.0,Earth,TRAPPIST-1e,False,False
238,True,24.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
239,False,21.0,1664.0,0.0,173.72916912197996,0.0,0.0,Mars,55 Cancri e,False,False
240,True,60.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
241,False,22.0,0.0,0.0,313.0,299.0,92.0,Earth,TRAPPIST-1e,False,False
242,False,26.0,0.0,4810.0,0.0,981.0,2054.0,Europa,TRAPPIST-1e,False,False
243,False,26.0,66.0,29.0,0.0,0.0,803.0,Earth,TRAPPIST-1e,False,False
244,True,28.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
245,True,39.0,0.0,0.0,0.0,311.1387779083431,0.0,Europa,TRAPPIST-1e,True,False
246,False,13.0,118.0,0.0,0.0,754.0,1.0,Earth,TRAPPIST-1e,False,False
247,True,47.0,0.0,231.0,592.0,0.0,0.0,Earth,55 Cancri e,False,False
248,False,63.0,0.0,25.0,128.0,0.0,1240.0,Earth,TRAPPIST-1e,False,False
249,True,28.82793046746535,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,True,False
250,True,50.0,44.0,2390.0,0.0,53.0,0.0,Earth,55 Cancri e,False,False
251,False,35.0,0.0,0.0,0.0,888.0,304.8547912992357,Earth,TRAPPIST-1e,False,False
252,False,45.0,0.0,97.0,0.0,14.0,333.0,Earth,TRAPPIST-1e,False,False
253,True,19.0,0.0,0.0,2078.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
254,True,21.0,0.0,918.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
255,True,29.0,0.0,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
256,True,22.0,146.0,654.0,1.0,0.0,2.0,Earth,TRAPPIST-1e,False,False
257,True,14.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
258,True,42.0,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,True,False
259,False,57.0,3.0,1281.0,29.0,162.0,13.0,Earth,55 Cancri e,False,False
260,True,39.0,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,True,False
261,False,28.0,0.0,587.0,32.0,6.0,1460.0,Europa,TRAPPIST-1e,False,False
262,False,19.0,0.0,0.0,0.0,0.0,828.0,Earth,55 Cancri e,False,False
263,True,19.0,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,True,False
264,True,26.0,0.0,4458.0,0.0,1157.0,262.0,Europa,55 Cancri e,False,False
265,True,17.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
266,True,43.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,True,False
267,True,9.0,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,False,False
268,True,40.0,0.0,6500.0,88.0,1090.0,0.0,Europa,TRAPPIST-1e,False,False
269,True,50.0,0.0,0.0,0.0,311.1387779083431,0.0,Europa,TRAPPIST-1e,True,False
270,True,24.0,90.0,2.0,1324.0,17.0,0.0,Earth,TRAPPIST-1e,False,False
271,True,57.0,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,True,False
272,False,16.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
273,False,23.0,0.0,0.0,15.0,0.0,1370.0,Earth,TRAPPIST-1e,False,False
274,True,23.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
275,False,28.0,0.0,422.0,0.0,1851.0,5166.0,Europa,TRAPPIST-1e,False,False
276,False,23.0,0.0,584.0,0.0,20.0,2469.0,Europa,55 Cancri e,False,False
277,False,23.0,368.0,175.0,259.0,1.0,101.0,Earth,TRAPPIST-1e,False,False
278,True,18.0,0.0,0.0,1359.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
279,False,18.0,1194.0,0.0,157.0,6.0,0.0,Earth,TRAPPIST-1e,False,False
280,False,67.0,224.687617481203,230.0,0.0,4476.0,241.0,Europa,TRAPPIST-1e,False,False
281,True,60.0,7.0,540.0,1.0,0.0,4.0,Earth,PSO J318.5-22,False,False
282,True,28.82793046746535,0.0,0.0,173.72916912197996,0.0,0.0,Earth,55 Cancri e,True,False
283,True,49.0,331.0,0.0,0.0,318.0,0.0,Earth,55 Cancri e,False,False
284,True,0.0,0.0,0.0,0.0,0.0,0.0,Earth,55 Cancri e,False,False
285,False,26.0,386.0,0.0,74.0,0.0,1330.0,Earth,55 Cancri e,False,False
286,True,35.0,0.0,0.0,0.0,0.0,0.0,Mars,PSO J318.5-22,True,False
287,True,24.0,0.0,2628.0,173.72916912197996,170.0,0.0,Europa,TRAPPIST-1e,False,False
288,True,20.0,0.0,0.0,0.0,0.0,304.8547912992357,Europa,TRAPPIST-1e,True,False
289,False,18.0,0.0,2.0,0.0,311.1387779083431,0.0,Earth,TRAPPIST-1e,False,False
290,False,21.0,0.0,5.0,3.0,0.0,304.8547912992357,Earth,TRAPPIST-1e,False,False
291,False,59.0,1018.0,0.0,209.0,0.0,0.0,Mars,TRAPPIST-1e,False,True
292,False,13.0,0.0,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
